X,Y,Z,Roll ,Pitch,Yaw
-0.5,0,-0.002345569,13.71,-4.41,2.56
-0.75,-0.25,0.005401769,13.83,-4.37,2.54
-204.25,-73.75,-0.051020587,5.24,-1.78,2.8
203,73.5,0.037335131,-15.21,-1.67,-0.35
-2,0,0,13.65,-1.27,-0.58
-2,-1,0,13.59,-1.27,-0.57
-3.75,-1,0.001553748,13.31,-4.39,2.56
-3,-2,0,13.32,-4.41,2.57
-4.25,-3,-0.00156543,13.32,-1.31,-0.55
-3.5,-3,0.000777238,13.15,-4.4,2.58
-4.5,-4,-0.007076533,12.96,-4.44,2.59
-4,-5,0,13.09,-4.42,2.59
-4.5,-5,-0.002312593,13.05,-4.43,2.59
-171.5,-49.5,-0.035649755,5.24,-1.71,2.8
167.25,44.5,0.030954323,-16.02,-4.86,2.82
92.25,20,0,0,0,0
-188.75,50.5,0.122264316,11.1,-1.59,-0.59
-4,-5,0,13.91,-1.26,-0.59
-4.25,-5,-0.000801683,13.78,-4.37,2.54
-4,-4.75,-0.002316033,13.85,-4.41,2.54
75.5,13.25,0,0,0,0
-120.75,72.25,0,0,0,0
77,13.25,0,0,0,0
-205.75,57.25,0.120176045,10.81,-1.55,-0.59
-144,-8.75,-0.033833655,5.32,-1.79,2.8
220.5,22.75,0,0,0,0
76.25,14.5,0,0,0,0
76.25,14.5,0,0,0,0
-216,61.5,0.118142159,10.41,-4.67,2.56
76,14.5,0,0,0,0
-141,81,0,0,0,0
-222.25,64.5,0.11654003,10.29,-4.68,2.57
-10.25,-10.5,-0.001746412,13.55,-1.33,-0.56
76.75,14.5,0.006660434,41.19,-1.5,-0.46
147,-88.5,-4609679.777,24.75,-4.4,2.2
-151,85.5,0,0,0,0
66,22.5,0.05119877,24.68,-3.5,2.2
